title,tomatometer,reviewCount
Silencer,N/A,N/A
Sin City,77%,250
Singh Saab the Great,N/A,N/A
Singularity,N/A,N/A
Skin Trade,25%,16
Skiptrace,38%,32
Sky on Fire,40%,10
Skyline,N/A,N/A
Slow West,92%,132
Small Soldiers,48%,44
Snowpiercer,95%,243
Solo: A Star Wars Story,70%,461
Solo: A Star Wars Story (Spanish Version),N/A,N/A
Solomon Kane,67%,48
Son of a Gun,N/A,N/A
Space Cowboys,78%,119
Spectral,75%,8
Spider-Man 3,N/A,N/A
Spider-Man: Into the Spider-Verse,97%,371
Spy Time,N/A,N/A
Spyder,0%,5
Standoff,N/A,N/A
Star Wars: Episode VIII: The Last Jedi,N/A,N/A
Starsky & Hutch,N/A,N/A
Steel Rain,N/A,N/A
Stronger Than the World,N/A,N/A
Submission,N/A,N/A
Super Fly,92%,25
Supergirl,10%,31
Superlopez,67%,6
Superman Returns,75%,264
Sword Masters: Two Champions of Shaolin,N/A,N/A
Swordfish,26%,138
Takers,29%,112
Tamanchey,N/A,N/A
Tatu,N/A,N/A
Tears of the Sun,33%,155
Teefa in Trouble,N/A,N/A
Tezz,N/A,N/A
Thaandavam,N/A,N/A
The 4th Company,N/A,N/A
The Accidental Spy,N/A,N/A
The Age of Shadows,100%,45
The Amazing Praybeyt Benjamin,N/A,N/A
The Bare-Footed Kid,N/A,N/A
The Beast Stalker,N/A,N/A
The Bittersweet,N/A,N/A
The Book of Eli,47%,203
The Bounty Hunter,N/A,N/A
The Brothers Grimm,N/A,N/A
The Bund,N/A,N/A
The Cell,N/A,N/A
The Climb,N/A,N/A
The Cloverfield Paradox,19%,142
The Crew,N/A,N/A
The Crow,N/A,N/A
The Darkest Dawn,N/A,N/A
The Debt Collector,N/A,N/A
The Dirty Dozen,88%,34
The Do-Over,N/A,N/A
The End of Evangelion,N/A,N/A
The Five Venoms,N/A,N/A
The Flying Guillotine,N/A,N/A
The Forbidden Kingdom,N/A,N/A
The Grandmaster,78%,135
The Great Battle,86%,7
The Great Magician,N/A,N/A
The Great Raid,N/A,N/A
The Hard Way,N/A,N/A
The Hollow Point,N/A,N/A
The Humanity Bureau,25%,8
The Hurricane Heist,45%,55
The Imaginarium of Doctor Parnassus,64%,196
The In-Laws,33%,136
The Killer,N/A,N/A
The Last Runway,N/A,N/A
The Legacy of a Whitetail Deer Hunter,30%,23
The Long Kiss Goodnight,N/A,N/A
The Lovers,90%,10
The Matrix,88%,149
The Matrix Reloaded,73%,245
The Matrix Revolutions,35%,216
The Night Comes for Us,90%,29
The Oath,75%,16
The Physician,N/A,N/A
The Prince,N/A,N/A
The Prison,N/A,N/A
The Ridiculous 6,0%,36
The River Wild,56%,32
The Saint,N/A,N/A
The Seven Deadly Sins the Movie: Prisoners of the Sky,N/A,N/A
The Siege of Jadotville,64%,11
The Space Between Us,17%,133
The Super Parental Guardians,N/A,N/A
The Taking of Pelham 123,N/A,N/A
The Time Machine,N/A,N/A
The Tuxedo,N/A,N/A
The Twins Effect II,N/A,N/A
The Walls of the Moon,N/A,N/A
The World Is Yours,N/A,N/A
The Young Vagabond,N/A,N/A
Tiger,N/A,N/A
Time Trap,60%,10
Tracers,25%,28
Train to Busan,93%,107
Tremors: A Cold Day in Hell,40%,5
Trimurti,N/A,N/A
Triple Frontier,72%,121
