title,imdbRating,imdbVotes,tomatometer
Race,7.1,"31,933",62%
Race 2,5.3,"14,349",0%
Raees,6.8,"37,635",67%
Railroad Tigers,5.8,"3,390",N/A
Rampage: President Down,4.8,"2,475",N/A
Rampant,6.3,"1,987",62%
Rangoon,5.7,"3,316",55%
Regatta,4.6,75,N/A
Rembat,N/A,N/A,N/A
Remember,7.5,"20,329",N/A
Return to the 36th Chamber,7.1,"2,813",N/A
Revenge of the Green Dragons,5.3,"3,522",15%
Revenger,5.7,"2,655",40%
Revolt,5.2,"7,240",N/A
Rim of the World,5.1,"15,072",25%
Robin Hood: The Rebellion,5.6,"3,345",N/A
Rocky,8.1,"485,957",94%
Rocky Handsome,6.8,"6,437",0%
Roger Corman's Death Race 2050,N/A,N/A,N/A
Romeo Ranjha,4.8,69,N/A
Rowdy Rathore,5.8,"19,070",55%
Rumble,7.1,471,N/A
Rumble in the Bronx,6.7,"36,662",80%
Run,6.2,"2,329",N/A
S Storm,5.1,508,N/A
Saaho,5.4,"12,355",9%
Salaakhen,5.3,330,N/A
Samson,4.4,"3,768",25%
Sand Castle,6.3,"15,922",47%
Sardaarji 2,5.4,470,N/A
Sarkar (Tamil),N/A,N/A,N/A
Sarkar (Telugu),N/A,N/A,N/A
Savage Dog,4.9,"2,422",73%
Scorpion King 5: Book of Souls,N/A,N/A,N/A
Scott Pilgrim vs. the World,7.5,"348,818",81%
Season of the Witch,5.4,"87,120",11%
Security,5.7,"14,106",N/A
Sei,4.2,37,N/A
Shadow,7.0,"7,344",94%
Shaitan,7.3,"7,523",N/A
Shootout at Lokhandwala,7.1,"8,740",N/A
Shortcut Safari,6.4,34,N/A
Silencer,3.8,822,N/A
Sin City,8.0,"722,511",77%
Singh Saab the Great,5.8,"1,989",N/A
Singularity,3.9,"12,547",N/A
Skin Trade,5.6,"7,135",25%
Skiptrace,5.7,"17,463",38%
Sky on Fire,4.6,273,N/A
Skyline,4.4,"84,445",16%
Slow West,6.9,"39,204",92%
Small Soldiers,6.2,"87,412",48%
Snowpiercer,7.1,"252,421",95%
Solo: A Star Wars Story,6.9,"244,965",70%
Solo: A Star Wars Story (Spanish Version),N/A,N/A,N/A
Solomon Kane,6.1,"66,864",67%
Son of a Gun,6.5,"24,773",63%
Space Cowboys,6.4,"69,938",78%
Spectral,6.3,"45,188",75%
Spider-Man 3,6.2,"472,207",63%
Spider-Man: Into the Spider-Verse,8.4,"275,390",97%
Spy Time,6.1,"3,509",N/A
Spyder,6.8,"8,036",0%
Standoff,6.1,"6,950",56%
Star Wars: Episode VIII: The Last Jedi,7.1,"487,996",91%
Starsky & Hutch,6.1,"133,849",62%
Steel Rain,7.1,"3,146",N/A
Stronger Than the World,N/A,N/A,N/A
Submission,5.5,"1,205",N/A
Super Fly,6.5,"5,948",92%
Supergirl,6.3,"102,063",N/A
Superlopez,5.3,"2,223",N/A
Superman Returns,6.0,"263,529",75%
Sword Masters: Two Champions of Shaolin,N/A,N/A,N/A
Swordfish,6.5,"171,059",26%
Takers,6.2,"54,447",29%
Tamanchey,4.6,276,N/A
Tatu,N/A,N/A,N/A
Tears of the Sun,6.6,"108,573",33%
Teefa in Trouble,7.3,"2,905",N/A
Tezz,3.9,"1,934",N/A
Thaandavam,6.1,"1,587",N/A
The 4th Company,6.3,580,N/A
The Accidental Spy,5.8,"15,419",29%
The Age of Shadows,7.1,"7,012",100%
The Amazing Praybeyt Benjamin,4.2,152,N/A
The Bare-Footed Kid,6.5,540,N/A
The Beast Stalker,N/A,N/A,N/A
The Bittersweet,5.5,62,N/A
The Book of Eli,6.9,"278,118",47%
The Bounty Hunter,5.6,"115,369",12%
The Brothers Grimm,5.9,"111,826",38%
The Bund,N/A,N/A,N/A
The Cell,6.3,"91,474",45%
The Climb,6.9,"3,671",N/A
The Cloverfield Paradox,5.5,"87,160",19%
The Crew,5.6,"4,390",20%
The Crow,7.6,"157,518",82%
The Darkest Dawn,4.0,"1,440",N/A
The Debt Collector,5.7,"3,629",80%
The Dirty Dozen,7.8,"63,099",88%
The Do-Over,5.7,"35,352",10%
The End of Evangelion,8.2,"31,787",86%
The Five Venoms,N/A,N/A,N/A
The Flying Guillotine,6.7,896,N/A
The Forbidden Kingdom,6.6,"97,814",64%
The Grandmaster,6.6,"29,325",78%
The Great Battle,7.0,"2,601",86%
The Great Magician,5.9,"1,468",N/A
The Great Raid,6.7,"20,503",38%
The Hard Way,6.4,"17,223",74%
The Hollow Point,5.4,"4,993",36%
The Humanity Bureau,5.2,"7,998",N/A
The Hurricane Heist,5.1,"16,514",45%
The Imaginarium of Doctor Parnassus,6.8,"140,250",64%
The In-Laws,5.7,"15,650",33%
The Killer,7.8,"43,597",98%
The Last Runway,N/A,N/A,N/A
The Legacy of a Whitetail Deer Hunter,5.5,"3,095",30%
The Long Kiss Goodnight,6.8,"69,004",69%
The Lovers,7.3,"4,209",100%
The Matrix,8.7,"1,559,873",88%
The Matrix Reloaded,7.2,"489,206",73%
The Matrix Revolutions,6.7,"424,693",35%
The Night Comes for Us,7.0,"16,112",89%
The Oath,5.3,"3,306",63%
The Physician,7.2,"33,802",N/A
The Prince,4.6,"16,391",0%
The Prison,6.5,"1,296",N/A
The Ridiculous 6,4.8,"40,331",0%
The River Wild,6.4,"39,115",56%
The Saint,6.2,"59,311",30%
